URL,Page purpose,Current title,Recommended title,Current meta description,Recommended meta description,Current H1,Recommended H1,Primary search intent,Primary keyword/topic,Indexability,Canonical,Schema,H2/H3 review,Robots / indexability,Open Graph,Images / alt text,Internal links,External links,Duplicate / cannibalization,Content issues,Performance / CWV,Mobile / accessibility,CTA / local SEO,Entity / factual accuracy,Priority,Status,Redirect target,Word count,Issues
/,Local transactional / branded page for psychiatric mental health care Vijayawada,Psychiatrist in Vijayawada | Dr. Pamarthi Krishna Das,Psychiatrist in Vijayawada | Dr. Pamarthi Krishna Das,"Consult Dr. Pamarthi Krishna Das, Psychiatrist in Vijayawada, for psychiatric consultation, mental health care and treatment at Krishna Neuro Psychiatric Centre.","Consult Dr. Pamarthi Krishna Das, Psychiatrist in Vijayawada, for psychiatric consultation, mental health care and treatment at Krishna Neuro Psychiatric Centre.",Psychiatric & Mental Health Care in Vijayawada,Psychiatric & Mental Health Care in Vijayawada,Local transactional / branded,psychiatric mental health care Vijayawada,Indexable — included in sitemap,https://drkrishnadas.netlify.app,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; MedicalWebPage; FAQPage; Question; Answer,"10 H2 / 27 H3 — Professional mental-health care, delivered with respect. | Meet Dr. Pamarthi Krishna Das | Clear care pathways, explained before decisions are made. | From the first difficult symptom to a clearer way forward.","index, follow",Complete,14 images; 0 missing alt; responsive Next images detected: false,32 internal links; appointment linked,4 external links,No exact duplicate detected in initial pass,No material content issue,340 KB HTML; 14 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1894,None
/about,Branded informational page for about,About Krishna Neuro Psychiatric Centre | Vijayawada,About Krishna Neuro Psychiatric Centre | Vijayawada,"Learn about Krishna Neuro Psychiatric Centre, its patient-focused approach, Dr. Pamarthi Krishna Das and consultation access in Suryaraopet, Vijayawada.","Learn about Krishna Neuro Psychiatric Centre, its patient-focused approach, Dr. Pamarthi Krishna Das and consultation access in Suryaraopet, Vijayawada.",Krishna Neuro Psychiatric Centre,Krishna Neuro Psychiatric Centre,Branded informational,about krishna neuro psychiatric centre | vijayawada,Indexable — included in sitemap,https://drkrishnadas.netlify.app/about,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; BreadcrumbList; ListItem,5 H2 / 0 H3 — Professional care | Confidential and respectful | Located in Vijayawada | Consultation information,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,24 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,146 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,558,None
/about-doctor,Legacy URL preserving existing SEO equity,Permanent redirect to https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,Keep permanent redirect to https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,N/A — redirect,N/A — redirect,N/A — redirect,N/A — redirect,Legacy navigation,about doctor,Redirect — not indexable,https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,Inherited from destination,N/A,Permanent 301,Inherited from destination,N/A,Internal links updated to destination,N/A,Consolidated by redirect,None — equity preserved,Redirect only; negligible,Destination audited,Destination audited,Destination audited,NO CHANGE,301,https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,,
/appointment,Transactional appointment page for appointment,Book Psychiatrist Appointment in Vijayawada,Book Psychiatrist Appointment in Vijayawada,"Request an appointment with Dr. Pamarthi Krishna Das at Krishna Neuro Psychiatric Centre, Suryaraopet, Vijayawada. Call, WhatsApp or use the short form.","Request an appointment with Dr. Pamarthi Krishna Das at Krishna Neuro Psychiatric Centre, Suryaraopet, Vijayawada. Call, WhatsApp or use the short form.",You do not need the perfect words to begin.,You do not need the perfect words to begin.,Transactional appointment,book psychiatrist appointment in vijayawada,Indexable — included in sitemap,https://drkrishnadas.netlify.app/appointment,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; BreadcrumbList; ListItem,3 H2 / 0 H3 — Request an appointment | Prefer direct contact? | Clinic details,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,24 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,147 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,614,None
/appointment/success,Branded informational page for success,Appointment Request Prepared,Appointment Request Prepared,Next steps after an appointment request to Krishna Neuro Psychiatric Centre.,Next steps after an appointment request to Krishna Neuro Psychiatric Centre.,Thank you for reaching out.,Thank you for reaching out.,Branded informational,appointment request prepared,Noindex,https://drkrishnadas.netlify.app/appointment/success,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite,0 H2 / 0 H3,"noindex, nofollow",Complete,3 images; 0 missing alt; responsive Next images detected: false,24 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,131 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,467,None
/articles,Legacy URL preserving existing SEO equity,Permanent redirect to https://drkrishnadas.netlify.app/blog,Keep permanent redirect to https://drkrishnadas.netlify.app/blog,N/A — redirect,N/A — redirect,N/A — redirect,N/A — redirect,Legacy navigation,articles,Redirect — not indexable,https://drkrishnadas.netlify.app/blog,Inherited from destination,N/A,Permanent 301,Inherited from destination,N/A,Internal links updated to destination,N/A,Consolidated by redirect,None — equity preserved,Redirect only; negligible,Destination audited,Destination audited,Destination audited,NO CHANGE,301,https://drkrishnadas.netlify.app/blog,,
/best-psychiatrist-in-vijayawada,Legacy URL preserving existing SEO equity,Permanent redirect to https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,Keep permanent redirect to https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,N/A — redirect,N/A — redirect,N/A — redirect,N/A — redirect,Legacy navigation,best psychiatrist in vijayawada,Redirect — not indexable,https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,Inherited from destination,N/A,Permanent 301,Inherited from destination,N/A,Internal links updated to destination,N/A,Consolidated by redirect,None — equity preserved,Redirect only; negligible,Destination audited,Destination audited,Destination audited,NO CHANGE,301,https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,,
/blog,Branded informational page for blog,Mental Health Articles & Family Guides,Mental Health Articles & Family Guides,"Read responsible, plain-language articles on depression, anxiety, OCD, psychosis, addiction, sleep, children, postpartum health, memory and treatment.","Read responsible, plain-language articles on depression, anxiety, OCD, psychosis, addiction, sleep, children, postpartum health, memory and treatment.",Mental health information for decisions that happen in real life.,Mental health information for decisions that happen in real life.,Branded informational,mental health articles & family guides,Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; BreadcrumbList; ListItem,13 H2 / 0 H3 — When Should You See a Psychiatrist? A Practical Guide | Depression or Sadness? How to Understand the Difference | What Happens During a Panic Attack—and What Helps | OCD Is More Than Cleanliness: Hidden Symptoms Explained,"index, follow",Complete,15 images; 0 missing alt; responsive Next images detected: false,36 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,174 KB HTML; 15 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,903,None
/blog/adhd-assessment-what-to-expect,Medical informational page for adhd assessment what to expect,ADHD Assessment: What Children and Adults Can Expect,ADHD Assessment: What Children and Adults Can Expect,"ADHD diagnosis requires developmental history, cross-setting impairment and careful exclusion of sleep, mood, learning and medical causes.","ADHD diagnosis requires developmental history, cross-setting impairment and careful exclusion of sleep, mood, learning and medical causes.",ADHD Assessment: What Children and Adults Can Expect,ADHD Assessment: What Children and Adults Can Expect,Medical informational,adhd assessment: what children and adults can expect,Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog/adhd-assessment-what-to-expect,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | What clinicians look for | Information across time and settings | Alternative and coexisting explanations,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,29 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,176 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,943,None
/blog/alcohol-withdrawal-safety,Medical informational page for alcohol withdrawal safety,Why Stopping Alcohol Suddenly Can Be Dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous,Heavy or dependent alcohol use can cause dangerous withdrawal. Learn warning signs and why a medically planned approach matters.,Heavy or dependent alcohol use can cause dangerous withdrawal. Learn warning signs and why a medically planned approach matters.,Why Stopping Alcohol Suddenly Can Be Dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous,Medical informational,why stopping alcohol suddenly can be dangerous,Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog/alcohol-withdrawal-safety,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Why withdrawal happens | Warning signs | When emergency care is needed,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,27 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,174 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,924,None
/blog/baby-blues-postpartum-depression-psychosis,Medical informational page for baby blues postpartum depression psychosis,"Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?",Medical informational,"baby blues, postpartum depression or postpartum psychosis?",Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog/baby-blues-postpartum-depression-psychosis,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Baby blues | Postpartum depression and anxiety | Postpartum psychosis,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,28 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,175 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,946,None
/blog/chronic-insomnia-guide,Medical informational page for chronic insomnia guide,A Better Way to Think About Chronic Insomnia,A Better Way to Think About Chronic Insomnia,"Why chronic insomnia is not solved by sleep hygiene alone, how CBT-I works, and when snoring or daytime sleepiness needs medical review.","Why chronic insomnia is not solved by sleep hygiene alone, how CBT-I works, and when snoring or daytime sleepiness needs medical review.",A Better Way to Think About Chronic Insomnia,A Better Way to Think About Chronic Insomnia,Medical informational,a better way to think about chronic insomnia,Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog/chronic-insomnia-guide,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | What keeps insomnia going | What CBT-I does | Medicines and substances,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,28 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,176 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,948,None
/blog/depression-vs-sadness,Medical informational page for depression vs sadness,Depression or Sadness? How to Understand the Difference,Depression or Sadness? How to Understand the Difference,"Sadness is human; depression is a wider pattern affecting body, thinking and function. Learn signs that deserve a professional assessment.","Sadness is human; depression is a wider pattern affecting body, thinking and function. Learn signs that deserve a professional assessment.",Depression or Sadness? How to Understand the Difference,Depression or Sadness? How to Understand the Difference,Medical informational,depression or sadness? how to understand the difference,Indexable — included in sitemap,https://drkrishnadas.netlify.app/blog/depression-vs-sadness,MedicalClinic; ImageObject; PostalAddress; City; State; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Person; EducationalOccupationalCredential; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | Look beyond mood alone | Context still matters | Treatment is not one-size-fits-all,"index, follow",Complete,3 images; 0 missing alt; responsive Next images detected: false,28 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,177 KB HTML; 3 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,996,None
