url,search_intent,primary_keyword,title,h1
/,Local transactional / branded,psychiatric mental health care Vijayawada,Krishna Neuro Psychiatric Centre | Dr. Pamarthi Krishna Das,Psychiatric & Mental Health Care in Vijayawada
/about,Branded informational,about krishna neuro psychiatric centre | vijayawada,About Krishna Neuro Psychiatric Centre | Vijayawada,Krishna Neuro Psychiatric Centre
/appointment,Transactional appointment,book psychiatrist appointment in vijayawada,Book Psychiatrist Appointment in Vijayawada,You do not need the perfect words to begin.
/blog,Branded informational,mental health articles & family guides,Mental Health Articles & Family Guides,Mental health information for decisions that happen in real life.
/blog/adhd-assessment-what-to-expect,Medical informational,adhd assessment: what children and adults can expect,ADHD Assessment: What Children and Adults Can Expect,ADHD Assessment: What Children and Adults Can Expect
/blog/alcohol-withdrawal-safety,Medical informational,why stopping alcohol suddenly can be dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous
/blog/baby-blues-postpartum-depression-psychosis,Medical informational,"baby blues, postpartum depression or postpartum psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?"
/blog/chronic-insomnia-guide,Medical informational,a better way to think about chronic insomnia,A Better Way to Think About Chronic Insomnia,A Better Way to Think About Chronic Insomnia
/blog/depression-vs-sadness,Medical informational,depression or sadness? how to understand the difference,Depression or Sadness? How to Understand the Difference,Depression or Sadness? How to Understand the Difference
/blog/how-to-talk-to-someone-experiencing-psychosis,Medical informational,how to talk to someone who may be experiencing psychosis,How to Talk to Someone Who May Be Experiencing Psychosis,How to Talk to Someone Who May Be Experiencing Psychosis
/blog/normal-ageing-or-memory-problem,Medical informational,normal ageing or a memory problem? signs to notice,Normal Ageing or a Memory Problem? Signs to Notice,Normal Ageing or a Memory Problem? Signs to Notice
/blog/ocd-more-than-cleanliness,Medical informational,ocd is more than cleanliness: hidden symptoms explained,OCD Is More Than Cleanliness: Hidden Symptoms Explained,OCD Is More Than Cleanliness: Hidden Symptoms Explained
