URL,Page purpose,Current title,Recommended title,Current meta description,Recommended meta description,Current H1,Recommended H1,Primary search intent,Primary keyword/topic,Indexability,Canonical,Schema,H2/H3 review,Robots / indexability,Open Graph,Images / alt text,Internal links,External links,Duplicate / cannibalization,Content issues,Performance / CWV,Mobile / accessibility,CTA / local SEO,Entity / factual accuracy,Priority,Status,Redirect target,Word count,Issues
/,Local transactional / branded page for psychiatric mental health care Vijayawada,Krishna Neuro Psychiatric Centre | Dr. Pamarthi Krishna Das,Krishna Neuro Psychiatric Centre | Dr. Pamarthi Krishna Das,Krishna Neuro Psychiatric Centre provides professional psychiatric and mental-health care with Dr. Pamarthi Krishna Das in Vijayawada. Request an appointment or get directions.,Krishna Neuro Psychiatric Centre provides professional psychiatric and mental-health care with Dr. Pamarthi Krishna Das in Vijayawada. Request an appointment or get directions.,Psychiatric & Mental Health Care in Vijayawada,Psychiatric & Mental Health Care in Vijayawada,Local transactional / branded,psychiatric mental health care Vijayawada,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; FAQPage; Question; Answer,"10 H2 / 27 H3 — Professional mental-health care, delivered with respect. | Meet Dr. Pamarthi Krishna Das | Clear care pathways, explained before decisions are made. | From the first difficult symptom to a clearer way forward.","index, follow",Complete,43 images; 0 missing alt; responsive Next images detected: false,30 internal links; appointment linked,4 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,353 KB HTML; 43 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,1867,canonical does not match preferred URL; unsupported superlative or cure claim
/about,Branded informational page for about,About Krishna Neuro Psychiatric Centre | Vijayawada,About Krishna Neuro Psychiatric Centre | Vijayawada,"Learn about Krishna Neuro Psychiatric Centre, its patient-focused approach, Dr. Pamarthi Krishna Das and consultation access in Suryaraopet, Vijayawada.","Learn about Krishna Neuro Psychiatric Centre, its patient-focused approach, Dr. Pamarthi Krishna Das and consultation access in Suryaraopet, Vijayawada.",Krishna Neuro Psychiatric Centre,Krishna Neuro Psychiatric Centre,Branded informational,about krishna neuro psychiatric centre | vijayawada,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/about,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; BreadcrumbList; ListItem,5 H2 / 0 H3 — Professional care | Confidential and respectful | Located in Vijayawada | Consultation information,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,22 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,140 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,539,unsupported superlative or cure claim
/about-doctor,Legacy URL preserving existing SEO equity,Permanent redirect to /doctor/pamarthi-krishna-das,Keep permanent redirect to /doctor/pamarthi-krishna-das,N/A — redirect,N/A — redirect,N/A — redirect,N/A — redirect,Legacy navigation,about doctor,Redirect — not indexable,/doctor/pamarthi-krishna-das,Inherited from destination,N/A,Permanent 308,Inherited from destination,N/A,Internal links updated to destination,N/A,Consolidated by redirect,None — equity preserved,Redirect only; negligible,Destination audited,Destination audited,Destination audited,NO CHANGE,308,/doctor/pamarthi-krishna-das,,
/appointment,Transactional appointment page for appointment,Book Psychiatrist Appointment in Vijayawada,Book Psychiatrist Appointment in Vijayawada,"Request an appointment with Dr. Pamarthi Krishna Das at Krishna Neuro Psychiatric Centre, Suryaraopet, Vijayawada. Call, WhatsApp or use the short form.","Request an appointment with Dr. Pamarthi Krishna Das at Krishna Neuro Psychiatric Centre, Suryaraopet, Vijayawada. Call, WhatsApp or use the short form.",You do not need the perfect words to begin.,You do not need the perfect words to begin.,Transactional appointment,book psychiatrist appointment in vijayawada,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/appointment,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; BreadcrumbList; ListItem,3 H2 / 0 H3 — Request an appointment | Prefer direct contact? | Clinic details,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,22 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,141 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,595,unsupported superlative or cure claim
/appointment/success,Branded informational page for success,Appointment Request Prepared,Appointment Request Prepared,Next steps after an appointment request to Krishna Neuro Psychiatric Centre.,Next steps after an appointment request to Krishna Neuro Psychiatric Centre.,Thank you for reaching out.,Thank you for reaching out.,Branded informational,appointment request prepared,Noindex,https://www.krishnaneuropsychiatric.com/appointment/success,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite,0 H2 / 0 H3,"noindex, nofollow",Complete,1 images; 0 missing alt; responsive Next images detected: false,22 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,124 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,LOW,200,,448,unsupported superlative or cure claim
/best-psychiatrist-in-vijayawada,Legacy URL preserving existing SEO equity,Permanent redirect to /psychiatrist-in-vijayawada,Keep permanent redirect to /psychiatrist-in-vijayawada,N/A — redirect,N/A — redirect,N/A — redirect,N/A — redirect,Legacy navigation,best psychiatrist in vijayawada,Redirect — not indexable,/psychiatrist-in-vijayawada,Inherited from destination,N/A,Permanent 308,Inherited from destination,N/A,Internal links updated to destination,N/A,Consolidated by redirect,None — equity preserved,Redirect only; negligible,Destination audited,Destination audited,Destination audited,NO CHANGE,308,/psychiatrist-in-vijayawada,,
/blog,Branded informational page for blog,Mental Health Articles & Family Guides,Mental Health Articles & Family Guides,"Read responsible, plain-language articles on depression, anxiety, OCD, psychosis, addiction, sleep, children, postpartum health, memory and treatment.","Read responsible, plain-language articles on depression, anxiety, OCD, psychosis, addiction, sleep, children, postpartum health, memory and treatment.",Mental health information for decisions that happen in real life.,Mental health information for decisions that happen in real life.,Branded informational,mental health articles & family guides,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/blog,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; BreadcrumbList; ListItem,13 H2 / 0 H3 — When Should You See a Psychiatrist? A Practical Guide | Depression or Sadness? How to Understand the Difference | What Happens During a Panic Attack—and What Helps | OCD Is More Than Cleanliness: Hidden Symptoms Explained,"index, follow",Complete,13 images; 0 missing alt; responsive Next images detected: false,34 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,169 KB HTML; 13 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,884,unsupported superlative or cure claim
/blog/adhd-assessment-what-to-expect,Medical informational page for adhd assessment what to expect,ADHD Assessment: What Children and Adults Can Expect,ADHD Assessment: What Children and Adults Can Expect,"ADHD diagnosis requires developmental history, cross-setting impairment and careful exclusion of sleep, mood, learning and medical causes.","ADHD diagnosis requires developmental history, cross-setting impairment and careful exclusion of sleep, mood, learning and medical causes.",ADHD Assessment: What Children and Adults Can Expect,ADHD Assessment: What Children and Adults Can Expect,Medical informational,adhd assessment: what children and adults can expect,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/blog/adhd-assessment-what-to-expect,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | What clinicians look for | Information across time and settings | Alternative and coexisting explanations,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,27 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,170 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,920,unsupported superlative or cure claim
/blog/alcohol-withdrawal-safety,Medical informational page for alcohol withdrawal safety,Why Stopping Alcohol Suddenly Can Be Dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous,Heavy or dependent alcohol use can cause dangerous withdrawal. Learn warning signs and why a medically planned approach matters.,Heavy or dependent alcohol use can cause dangerous withdrawal. Learn warning signs and why a medically planned approach matters.,Why Stopping Alcohol Suddenly Can Be Dangerous,Why Stopping Alcohol Suddenly Can Be Dangerous,Medical informational,why stopping alcohol suddenly can be dangerous,Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/blog/alcohol-withdrawal-safety,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Why withdrawal happens | Warning signs | When emergency care is needed,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,25 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,169 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,901,unsupported superlative or cure claim
/blog/baby-blues-postpartum-depression-psychosis,Medical informational page for baby blues postpartum depression psychosis,"Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?",Medical informational,"baby blues, postpartum depression or postpartum psychosis?",Indexable — included in sitemap,https://www.krishnaneuropsychiatric.com/blog/baby-blues-postpartum-depression-psychosis,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Baby blues | Postpartum depression and anxiety | Postpartum psychosis,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,unsupported superlative or cure claim,169 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; claim review needed,MEDIUM,200,,923,unsupported superlative or cure claim
